,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
679,Mostly Self-Taught,Analyst,$100k - $120k,"D3,Excel,Semiotic,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Computer Science and Management Studies,Man,New Zealand,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no
680,Equal Parts School and Self-Taught,Analyst,$80k - $100k,"ArcGIS,Excel,PowerBI,Python,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Management Information Systems,Man,Canada,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
681,Mostly Self-Taught,Engineer,$60k - $80k,"D3,Excel,PowerBI,Tableau","LineChart,BarChart,Scatterplot,Treemap",Private sector,Business Engineering ,Man,Germany,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
683,Mostly Self-Taught,Leadership,$40k - $60k,"D3,Excel,ggplot2,Highcharts,Illustrator,Leaflet,R,Vue,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram",Journalism,Electrical Engineering,Man,Colombia,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no
685,Mostly Self-Taught,Leadership,$200k+,"Excel,ggplot2,Processing,R,Tableau","LineChart,BarChart,Scatterplot",Private sector,Anthropology,Man,Indonesia,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
686,Mostly Self-Taught,Other,$80k - $100k,"ArcGIS,D3,Highcharts,Plotly,Python,QGIS,Tableau,Vega,Pen&Paper,Otherphysicalmaterials,Matplotlib,GoogleDataStudio","LineChart,BarChart,PieChart,Hexbin/Heatmap",Freelance for most of the above,Engineering Mathematics,Man,Spain,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
687,Mostly Self-Taught,Designer,$20k - $40k,"Excel,Illustrator,Mapbox,Pen&Paper,Datawrapper","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",freelance,communication design,Man,Germany ,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no
688,Mostly Self-Taught,Other,$120k - $140k,"D3,Excel,ggplot2,Illustrator,Leaflet,Mapbox,Python,QGIS,R,WebGL","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DMap",Consutant - various,Chemistry,Man,United Kingdom,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no
689,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"D3,ggplot2,Plotly,R,FlexDashboard","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),ChordDiagram",Consulting,?,Man,Australia,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
691,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,PowerBI,Python,Tableau,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,Force-DirectedGraph",Private sector,Marketing,Man,Canada,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no
692,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap",Private sector,Languages,Man,United Kingdom,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no
693,Mostly Self-Taught,Designer,$140k - $160k,"Excel,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Studio art ,Man,USA,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
695,Mostly Self-Taught,Developer,$100k - $120k,"Python,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Criminology,Man,USA,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
697,Mostly Self-Taught,Engineer,$80k - $100k,"Plotly,Python,Pen&Paper,Matplotlib,Tikz,Coreldraw,Inkscape","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Defence aerospace ,Electronic engineering ,Man,South Africa ,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
698,Equal Parts School and Self-Taught,Developer,$40k - $60k,"D3,ggplot2,Plotly,Python,R,Tableau,Vue,WebGL,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Theoretical physics,Man,Sweden,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes
699,Mostly Self-Taught,Engineer,$60k - $80k,"D3,Python,Vue,WebComponents,WebGL,Canvas","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,Force-DirectedGraph",Public sector,Engineering ,Man,Canada,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no
700,Mostly Self-Taught,Designer,$20k - $40k,"Excel,Illustrator,animatecc","LineChart,BarChart,PieChart,Infographics,3DCharts",Private sector,industrial design,Man,Turkey,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
701,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,ggplot2,R,Tableau,Pen&Paper,PowerPoint","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap",Private sector,Psychology,Man,USA,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
702,Mostly Self-Taught,Scientist,$200k+,"Leaflet,kepler.gl,QGIS,Mathematica","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph,Histogram,HeatMap",Private sector,Physics,Man,USA,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no
703,Mostly Self-Taught,Analyst,< $20k,"D3,Excel,ggplot2,Python,R,Matplotlib","LineChart,BarChart,Scatterplot,ChoroplethMap,SwarmChart",Not-for-profit,Political Science,Man,Mexico,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
704,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,Plotly,Python,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot",Private sector,Chemical engineering,Man,USA,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
705,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,PowerBI","LineChart,BarChart,Scatterplot",Private sector,Electrical Engineering,Man,USA,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
706,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,ggplot2,PowerBI,R","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Management Information Systems,Man,USA,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no
708,Mostly Self-Taught,Analyst,$60k - $80k,"Mapbox,Microstrategy,PowerBI,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap",Private sector,Finance,Man,Spain,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no
709,Mostly Self-Taught,Analyst,< $20k,"D3,ggplot2,Gephi,PowerBI,Python,Tableau","LineChart,BarChart,NetworkDiagram",Not-for-profit,Economics,Man,Argentina,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
710,Mostly Self-Taught,Academic,$60k - $80k,"D3,Excel,ggplot2,Gephi,Illustrator,Leaflet,Processing,QGIS,R,Tableau,Pen&Paper,Canvas,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,Force-DirectedGraph",Academic,"chemistry, Asian studies",Man,USA,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no
711,Mostly Self-Taught,Developer,$80k - $100k,"D3,Angular,ggplot2,Illustrator","LineChart,BarChart",Private sector,Neuroscience,Man,USA,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
712,Mostly Self-Taught,Developer,$100k - $120k,"Mapbox,PowerBI,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Sport Management,Man,USA,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no
713,Equal Parts School and Self-Taught,Engineer,$80k - $100k,"D3,Mapbox,Python,QGIS,Tableau","LineChart,Scatterplot,ChoroplethMap",Private sector,Cartography,Man,Croatia,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
714,Mostly Self-Taught,Other,$20k - $40k,"D3,Excel,Highcharts,Java,QGIS,Fluorish,GoogleMap","LineChart,BarChart,PieChart,Infographics,ChoroplethMap",Journalism,Chemical Engineering,Man,Malaysia,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no
715,Equal Parts School and Self-Taught,Analyst,$120k - $140k,"Excel,ggplot2,Plotly,Python,R,Tableau","BarChart,PieChart,Infographics",Private sector,Mathematics and Statistics,Man,Canada,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
716,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Angular,Excel,ggplot2,Illustrator,Leaflet,Mapbox,Plotly,QGIS,R,React,WebComponents,WebGL","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,Theoretical physics,Man,Finland,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes
717,Mostly Self-Taught,Leadership,$60k - $80k,"D3,ggplot2,Plotly,PowerBI,Processing,Python,R,React,P5/Processing","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,VR/ARCharts,Force-DirectedGraph",Private sector,Engineering,Man,Brazil,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no
718,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,Illustrator,PowerBI,Python,R,Pen&Paper","LineChart,BarChart,Scatterplot,RasterMap",Private sector,Economics,Man,Mexico,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes
719,Mostly Self-Taught,Scientist,$20k - $40k,"Excel,ggplot2,Java,Leaflet,Mapbox,kepler.gl,Plotly,QGIS,R,Pen&Paper,GoogleDataStudio,FacebookAnalytics,Gamesparks","LineChart,BarChart,PieChart",Private sector,Biology,Man,United Kingdom,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
721,Mostly Self-Taught,Analyst,$80k - $100k,"ggplot2,Illustrator,Leaflet,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap",Not-for-profit,Science,Man,United Kingdom,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no
723,Mostly Self-Taught,Other,$80k - $100k,"D3,Excel,ggplot2,Illustrator,Leaflet,Mapbox,QGIS,R,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)","All of the above, I'm a freelancer",Bio-engineer,Man,Belgium,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes
724,Mostly Self-Taught,Developer,$40k - $60k,"Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,PictorialVisualization,Treemap,SwarmChart",Private sector,Communications,Man,United Kingdom,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no
725,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,PowerBI,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics,PictorialVisualization,Treemap,ChoroplethMap",Private sector,Physics,Man,United Kingdom,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no
726,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Not-for-profit,History,Man,England,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
727,Mostly Self-Taught,Designer,$120k - $140k,"Excel,ggplot2,Illustrator,Mapbox,PowerBI,QGIS,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap",Private sector,Political Science,Man,USA,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no
728,Mostly Self-Taught,Designer,< $20k,"D3,Excel,ggplot2,Gephi,Illustrator,Leaflet,QGIS,R,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,history,Man,Belarus,yes,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
729,Mostly Self-Taught,Designer,$80k - $100k,"Illustrator,Mapbox,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Communications,Man,USA,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no
731,Mostly Self-Taught,Developer,$40k - $60k,"D3,Angular,Mapbox,kepler.gl,Plotly,React,WebGL,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,Force-DirectedGraph",Private sector,Economics,Man,Georgia,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no
733,Mostly From School (or other formal courses),Developer,$20k - $40k,"D3,ggplot2,Gephi,Illustrator,Leaflet,Mapbox,kepler.gl,Plotly,Processing,Python,R,Tableau,WebGL,Canvas,P5/Processing,Unity3D","Scatterplot,NetworkDiagram,VR/ARCharts,Force-DirectedGraph",Private sector,Computer Science,Man,Netherlands,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no
734,Mostly Self-Taught,Developer,$20k - $40k,"D3,Excel,Python,QGIS,R,Vue,Canvas","BarChart,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,applied mathematics,Man,France,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no
736,Mostly Self-Taught,Designer,$60k - $80k,"D3,Tableau","LineChart,BarChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Consultant,Logistics,Man,Chile,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
737,Mostly Self-Taught,Designer,< $20k,"ggplot2,Illustrator,R,Tableau","LineChart,BarChart,Infographics,Treemap,ChoroplethMap,Dumbbellchart,wafflechart",Not-for-profit,Quality Management,Man,Colombia,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no
740,Mostly Self-Taught,Analyst,$80k - $100k,"D3,Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Chemical Engineering,Man,USA,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no
741,Equal Parts School and Self-Taught,Developer,$60k - $80k,"ArcGIS,D3,Angular,Excel,Processing,QGIS,Pen&Paper,P5/Processing","LineChart,BarChart,PieChart,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Journalism,Conputer Sciences,Man,Mexico,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no
744,Mostly Self-Taught,Developer,$20k - $40k,"D3,React,Vue","LineChart,BarChart,Scatterplot",Private sector,programming,Man,Spain,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
745,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Angular,Leaflet,Mapbox,Plotly,PowerBI,Python,React,Tableau,Vue","LineChart,BarChart,PieChart,Scatterplot,Treemap",Private sector,Public Relations,Man,Canada,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
746,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Illustrator,Mapbox,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap",Not-for-profit,"Mathematics, Business Admin, & Natural Science",Man,USA,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no
747,Mostly Self-Taught,Leadership,< $20k,"D3,Python,R,React,Matplotlib","Treemap,Force-DirectedGraph",Not-for-profit,Computer Science,Man,India,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no
748,Mostly Self-Taught,Scientist,$60k - $80k,"ArcGIS,Excel,ggplot2,Illustrator,Leaflet,Mapbox,Plotly,R,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap,RasterMap",Private sector,Civil and Environmental Engineering,Man,USA,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes
749,Mostly Self-Taught,Leadership,$100k - $120k,"ArcGIS,D3,Excel,Highcharts,Illustrator,Leaflet,Mapbox,PowerBI,Pen&Paper","LineChart,BarChart,PieChart,Hexbin/Heatmap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,English and philosophy ,Man,USA,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes
750,Mostly Self-Taught,Leadership,$200k+,"D3,Excel,ggplot2,Leaflet,Plotly,Python,Canvas,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mechanical Engineering,Man,USA,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
752,Mostly Self-Taught,Developer,$120k - $140k,"D3,Mapbox,React,WebGL,deck.gl","BarChart,PieChart,ChoroplethMap",Not-for-profit,history,Man,USA,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no
753,Mostly Self-Taught,Analyst,$80k - $100k,"ArcGIS,Excel,Python,Tableau","BarChart,PieChart,Infographics,ChoroplethMap,Othergeographicmaps",Private sector,Geography,Man,Bermuda,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no
754,Mostly Self-Taught,Designer,< $20k,"Illustrator,Pen&Paper,Otherphysicalmaterials",Infographics,Journalism,graphic design,Man,Colombia,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
755,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,Plotly,PowerBI,Python,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap",Private sector,Finance,Man,Australia,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no
756,Mostly Self-Taught,Other,$80k - $100k,"D3,Excel,Leaflet,Mapbox,kepler.gl,PowerBI,Python,QGIS,Tableau,Vue,WebGL","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Private sector,Business - Operations Management,Man,Canada,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no
757,Equal Parts School and Self-Taught,Leadership,$20k - $40k,"ArcGIS,Angular,Excel,Illustrator,Java,Leaflet,Mapbox,PowerBI,Python,QGIS,R,Tableau,WebGL,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,VR/ARCharts",Public sector,"B.A Geography, GIS Major",Man,Kenya,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes
758,Mostly Self-Taught,Developer,$40k - $60k,"D3,Mapbox,kepler.gl,Processing,React,Vega,WebGL,Pen&Paper,Canvas,P5/Processing","LineChart,BarChart,Scatterplot,Treemap,NetworkDiagram,ChoroplethMap,Force-DirectedGraph",Private sector,Management/finance,Man,Poland,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,no
759,Mostly Self-Taught,Designer,< $20k,"D3,Python,R,Tableau","Infographics,PictorialVisualization",O,History ,Man,Canada,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no
761,Mostly Self-Taught,Designer,$20k - $40k,"ArcGIS,Illustrator,Mapbox,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart","I'm a freelancer, so who steps in and ask for me is welcome",Worked as a journalist,Man,Denmark,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no
